4K频道,#genre#
八大综合台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=onPJzs&tk=cl177bPI6scY
八大精彩台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ztbFYV&tk=cl177bPI6scY
八大娱乐台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=zLXzTs&tk=cl177bPI6scY
TVBS新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=hLwMc3&tk=cl177bPI6scY
TVBS精采台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=gGBvIT&tk=cl177bPI6scY
TVBS欢乐台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=FYdFK9&tk=cl177bPI6scY
TVBSHD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=9W86ym&tk=cl177bPI6scY
TVBS NEWS,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=mYlWlf&tk=cl177bPI6scY
靖天综合台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=RAXNi7&tk=cl177bPI6scY
靖天日本台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=LxaV3c&tk=cl177bPI6scY
靖天卡通台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=jWxy2z&tk=cl177bPI6scY
靖洋卡通台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=hknlxX&tk=cl177bPI6scY
靖天电影台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=TpbmmZ&tk=cl177bPI6scY
靖天资讯台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=B8ElXP&tk=cl177bPI6scY
靖天国际台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=GDjTyk&tk=cl177bPI6scY
靖天戏剧台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=EsXNgH&tk=cl177bPI6scY
靖洋戏剧台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=rkNPLN&tk=cl177bPI6scY
靖天育乐台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=l5Uynm&tk=cl177bPI6scY
靖天映画台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=YsoFMZ&tk=cl177bPI6scY
靖天欢乐台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=URJ6NZ&tk=cl177bPI6scY
華藝MBC綜合台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=QtF1vn&tk=cl177bPI6scY
LUXE TV,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=vBid0O&tk=cl177bPI6scY
亚洲旅游台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=NgEfJ6&tk=cl177bPI6scY
台湾Plus,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=64QhRe&tk=cl177bPI6scY
EYETV旅游,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=WYc9ED&tk=cl177bPI6scY
EYETV戏剧,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Gk7S3m&tk=cl177bPI6scY
ELEVEN1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ctDspI&tk=cl177bPI6scY
ELEVEN2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=pDqpw1&tk=cl177bPI6scY
ELTA日韩,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=MxMC7t&tk=cl177bPI6scY
ELTA影剧,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=VZiQHk&tk=cl177bPI6scY
ELTA综合,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=jTCVm9&tk=cl177bPI6scY
ELTA娱乐,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=rZ2rZO&tk=cl177bPI6scY
ELTA生活旅游,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=rs5KFF&tk=cl177bPI6scY
ELTA体育1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=7tFINZ&tk=cl177bPI6scY
ELTA体育2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=sbDEI6&tk=cl177bPI6scY
